episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,68,1.5294117647058822,6,0.27941176470588236,1.4705882352941178,165822.89970983198,2537.8735617719926,7920.802268544245,24953.89783381365,85816.58592373916,305.4404296875,4149.065302031492,27,0.27,0.73,0.6030530172550758,0.44022870259620533,1904,-655.1888740029892,
1,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,25,11.24,26,0.8,4.0,293904.83951379906,35255.713919256195,134040.4037302578,56968.62027279064,229744.36272493348,1876.93359375,1684.2665154466931,100,1.0,0.0,0.34024618364715603,0.0,700,-1013.7671650285199,
2,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,23,10.26086956521739,23,0.8695652173913043,4.3478260869565215,227840.48474502933,23872.45746628819,77650.23530982767,39934.8644083535,185491.60828160652,1332.38671875,1406.3419719081398,99,0.99,0.010000000000000009,0.43890356058497476,0.0043890356058497474,644,-740.8489548839643,
3,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,82,1.2317073170731707,5,0.17073170731707318,1.2195121951219512,156368.67964984445,1889.6304982413928,5796.932897637076,27568.068345914686,66283.38465638575,254.578125,5061.913439295785,23,0.23,0.77,0.6395142571001398,0.4924259779671076,2296,-579.3217238497688,
4,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,27,8.777777777777779,18,0.8888888888888888,3.7037037037037037,149308.99168864122,14212.768234866913,44478.201306298964,29443.712206808494,118054.17634400203,847.0107421875,1731.6083734390054,94,0.94,0.06000000000000005,0.6697520281198682,0.04018512168719209,756,-593.7560584663829,
5,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,75,1.4133333333333333,5,0.22666666666666666,1.3333333333333333,193152.00242599213,2355.071965277652,7308.691664577863,15789.177242342164,92570.60012497628,255.416015625,4035.268375561514,21,0.21,0.79,0.5177269650016487,0.40900430235130253,2100,-577.2865593352744,
6,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,31,4.419354838709677,15,0.7419354838709677,3.225806451612903,205590.0805922893,11935.664942655685,32294.602644632847,45392.71908292892,154193.95589162386,1405.265625,1821.6608041095988,92,0.92,0.07999999999999996,0.48640479011393767,0.03891238320911501,868,-798.8136413626198,
7,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,66,1.621212121212121,8,0.2878787878787879,1.5151515151515151,187637.92086337664,2848.363848690622,8070.179669996984,32002.731853702113,79319.01665497337,297.3662109375,3874.501940683239,36,0.36,0.64,0.532941313460898,0.3410824406149748,1848,-646.6545642153231,
8,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,62,1.7580645161290323,7,0.2903225806451613,1.6129032258064515,176049.82702324033,3651.5862046235848,10360.03988853764,40387.25860025122,88276.94996071047,295.25390625,4283.908269193394,46,0.46,0.54,0.5680210068414268,0.30673134369437044,1736,-791.8071202721007,
9,node_conditioned_dp,0.6,100,outputs/msn_calibrated_train_seed29/agent_ep800.pt,100,100,0,1.0,64,1.625,6,0.359375,1.5625,156061.12811774042,2616.7951068824864,6347.271048199678,27413.59579862668,79813.67618511524,326.98828125,4077.991648465267,33,0.33,0.6699999999999999,0.6407745554969648,0.42931895218296645,1792,-613.1213370030158,
